ID,Nama,Ketinggian,Provinsi,Wilayah,Deskripsi,Aktif (Aktif/Tidak Aktif),Level (Pemula/Mahir),Kota/Kab
46,Gunung Bongkok,1141,Jawa Barat,Jawa,"Gunung Bongkok atau Gunung Bengkok adalah sebuah gunung yang berada di perbatasan Kabupaten Tasikmalaya dengan Kabupaten Ciamis, Provinsi Jawa Barat. Gunung Bongkok mencangkup Kecamatan Salopa, Kecamatan Cineam di Kabupaten Tasikmalaya dan Kecamatan Langkaplancar di Kabupaten Ciamis. Namun puncak Gunung Bongkok secara administrasi masuk ke Desa Tanjungsari, Kecamatan Salopa, Kabupaten Tasikmalaya. Nama Gunung Bengkok diambil karena gunung ini berada sekaligus menjadi puncak tertinggi di Perbukitan Bengkok-Aseupan yang memanjang dan melengkung ke arah utara, sehingga tampak bengkok. Gunung Bongkok memiliki ketinggian 1.141 meter di atas permukaan air laut Mdpl. Puncak lainnya diantaranya Puncak Cikamunding (1.074 Mdpl), Puncak Aseupan (1.086 Mdpl), Puncak Harendong (923 Mdpl, Puncak Seel (1.007 Mdpl) dan Puncak Cibeureum (955 Mdpl). Sungai yang berhulu dari Gunung Bongkok diantaranya adalah Sungai Ciseel, Sungai Cigugur, Sungai Cimandala, Sungai Cicondong, Sungai Ciparang, Sungai Cimedang, Sungai Cikondang dan Sungai Cipanaha.",Tidak Aktif,Pemula,Tasikmalaya
47,Gunung Bukit Tunggul,2208,Jawa Barat,Jawa,"Gunung Bukit Tunggul atau Bukit Tunggul merupakan sebuah gunung yang terdapat di pulau Jawa, Indonesia. Gunung Bukit Tunggul mempunyai ketinggian setinggi 2209 meter. Gunung ini merupakan salah-satu sisa dari hasil letusan besar Gunung Sunda Purba di Zaman Prasejarah.

Gunung Bukit Tunggul merupakan puncak tertinggi yang dimiliki Pegunungan Bandung Utara atau Pegunungan Lembang. Puncak-puncak yang lainnya dari pegunungan tersebut adalah Gunung Tangkuban Perahu (2084 m), Burangrang (2064 m), Sunda (1859 m), Putri (1587 m), Manglayang (1818 m), Cangah (1659 m), Aseupan (1620 m), dan Karamat (1200 m).",Tidak Aktif,Pemula,Bandung Utara
48,Gunung Buleud,1519,Jawa Barat,Jawa,"Gunung Buleud merupakan gunung yang terletak di Cipatik, Bandung Barat. Sisi selatan Gunung Buleud berada di Desa Cibodas, Kecamatan Soreang, Kabupaten Bandung, sedangkan sisi utaranya berada di Kampung Bahubang, Desa Situwangi, Kecamatan Cihampelas, Kabupaten Bandung Barat.",Tidak Aktif,Pemula,Bandung Barat
49,Gunung Burangrang,2057,Jawa Barat,Jawa,"Gunung Burangrang merupakan sebuah gunung api mati yang terdapat di pulau Jawa, Indonesia. Gunung Burangrang mempunyai ketinggian setinggi 2.050 meter. Gunung ini merupakan salah-satu sisa dari hasil letusan besar Gunung Sunda di Zaman Prasejarah. Gunung Burangrang bersebelahan dengan Gunung Sunda.",Aktif,Pemula,Bandung
50,Gunung Cadaspanjang,2050,Jawa Barat,Jawa,"Cadas Panjang ini berlokasi di kawasan Kampung Cai Rancaupas, Jl. Raya Ciwidey – Patengan Km. 11, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973.",Tidak Aktif,Pemula,Bandung
51,Gunung Cakrabuana,1721,Jawa Barat,Jawa,"Gunung Cakrabuana (Aksara Sunda Baku: ????? ???????, Latin: Gunung Cakrabuwana) adalah gunung di Jawa Barat dengan ketinggian 1721 mdpl dan koordinat 7°2'7""S 108°7'51""E, dan berada di tapal batas antara 3 kabupaten yaitu Kabupaten Garut (Malangbong), Kabupaten Tasikmalaya (Pagerageung) dan Kabupaten Majalengka (Lemah Sugih).",Tidak Aktif,Pemula,Tasikmalaya
52,Gunung Calancang,1667,Jawa Barat,Jawa,"Gunung Calancang merupakan sebuah gunung yang terdapat di Provinsi Jawa Barat. Gunung Calancang secara administrasi berada di perbatasan Kabupaten Sumedang dan Kabupaten Garut. Di Kabupaten Sumedang gunung ini mencangkup Kecamatan Sumedang Selatan dan Kecamatan Cibugel. Sedangkan di Kabupaten Garut mencangkup Kecamatan Blubur Limbangan dan Kecamatan Selaawi. Gunung Calancang ini mempunyai ketinggian 1.667 meter di atas permukaan air laut Mdpl dengan ketinggian relative 1.600 Mdpl. Di sekitar Gunung Calancang terdapat puncak lainnya seperti Puncak Sindulang (1.506 Mdpl), Puncak Pilar (1.649 Mdpl) dan Puncak Pasir Harendong (1.639 Mdpl). Disebalah barat Gunung Calancang terdapat Gunung Kerenceng. Sungai yang berhulu di gunung ini antara lain Sungai Citarik, Sungai Cihonje, Sungai Cideureus, Sungai Cikuya, Sungai Cigunung dan Sungai Cilingga.",Tidak Aktif,Pemula,Sumedang
53,Gunung Canggah,1618,Jawa Barat,Jawa,"Gunung Canggah Terletak Di Kabupaten Subang Jawa Barat. Jalur Pendakian Ke Gunung Canggah Yang Sering Dilalui Adalah Jalur Kampung panyeredan Atau Kampung Citali Yang Tempatnya Di daerah Cisalak Subang Jawa Barat.Dan  Dari Dua Kampung Itu Kalian Akan Langsung Di arahkan Ke Curug Cipaok.
",Tidak Aktif,Pemula,Subang
54,Gunung Ceremai,3078,Jawa Barat,Jawa,"Gunung Ceremai adalah gunung berapi kerucut yang secara administratif termasuk dalam wilayah dua kabupaten, yakni Kabupaten Kuningan dan Kabupaten Majalengka, Provinsi Jawa Barat. Posisi geografis puncaknya terletak pada 6° 53' 30"" LS dan 108° 24' 00"" BT, dengan ketinggian 3.078 m di atas permukaan laut. Gunung ini merupakan gunung tertinggi di Jawa Barat.",Aktif,Mahir,Majalengka
55,Gunung Cikuray,2818,Jawa Barat,Jawa,"Gunung Cikuray atau Cikurai adalah sebuah gunung bertipe Stratovolcano yang terletak di Dayeuhmanggung, Kabupaten Garut, Jawa Barat, Indonesia. Gunung Cikuray yang mempunyai ketinggian 2.821 meter di atas permukaan laut ini tidak mempunyai kawah aktif dan merupakan gunung tertinggi keempat di Jawa Barat setelah Gunung Ciremai, Gunung Pangrango dan Gunung Gede. Gunung ini berada di perbatasan kecamatan Bayongbong dari sini bisa naik melalui jalur Cilegug atau kampung Jambansari dekat markas HdG Team, Cikajang, Kiara Janggot dan Dayeuhmanggung. Iklim di daerah Gunung Cikuray dan sekitarnya dikategorikan sebagai daerah beriklim tropis basah (humid tropical climate). Curah hujan di sekitar Gunung Cikuray mencapai 3500-4000mm dengan kalkulasi bulan basah 9 bulan dan bulan kering 3 bulan dan juga variasi temperatur dari 10º C hingga 24º C.",Tidak Aktif,Mahir,Garut
56,Gunung Galunggung,2167,Jawa Barat,Jawa,"Gunung Galunggung merupakan gunung berapi dengan ketinggian 2.168 meter di atas permukaan laut, dengan puncak tertingginya yakni puncak beuti canar yang memiliki ketinggian 2240 Mdpl. Ia terletak sekitar 17 km dari pusat kota Tasikmalaya, Jawa Barat. Untuk mencapai bibir kawah Gunung Galunggung, dibangun sebuah tangga yang memiliki 620 anak tangga. Gunung ini memiliki 2 puncak yaitu Puncak Dinding Ari dan Puncak Beuticanar, kedua puncak tersebut dapat dijangkau dengan cara mendaki melalui jalur yang tersedia.",Tidak Aktif,Pemula,Tasikmalaya
57,Gunung Gede,2958,Jawa Barat,Jawa,"Gunung Gede merupakan sebuah gunung api bertipe stratovolcano yang berada di Pulau Jawa, Indonesia. Gunung Gede berada dalam ruang lingkup Taman Nasional Gede Pangrango, yang merupakan salah satu dari lima taman nasional yang pertama kali diumumkan di Indonesia pada tahun 1980. Gunung ini berada di dua wilayah kabupaten yaitu Kabupaten Cianjur dan Sukabumi, dengan ketinggian 1.000 - 2.958 m. dpl, dan berada pada lintang 106°51' - 107°02' BT dan 64°1' - 65°1 LS. Suhu rata-rata di puncak gunung Gede 18 °C dan di malam hari suhu puncak berkisar 5 °C, dengan curah hujan rata-rata 3.600 mm/tahun. Gerbang utama menuju gunung ini adalah dari Cibodas dan Cipanas.",Tidak Aktif,Pemula,Cianjur
58,Gunung Geder,1555,Jawa Barat,Jawa,"Gunung Geder merupakan gunung yang terletak di Kabupaten Garut, Jawa Barat. Gunung ini memiliki ketinggian 1.555 mdpl.",Tidak Aktif,Pemula,Garut
59,Gunung Guntur,2249,Jawa Barat,Jawa,"Gunung Guntur adalah gunung berapi kerucut aktif yang terdapat di Kelurahan Pananjung dan Desa Pasawahan, Tarogong Kaler, Kabupaten Garut, Jawa Barat, dan memiliki ketinggian 2.249 meter dpl.",Tidak Aktif,Pemula,Garut
60,Gunung Haruman,1217,Jawa Barat,Jawa,"Gunung Haruman merupakan gunung yang berlokasi di Kecamatan Cibiuk dan Kecamatan Kadungora. Gunung yang memiliki ketinggian 1.217 mdpl itu masih memiliki hutan yang lebat dan dijaga keasriannya oleh warga setempat.

",Tidak Aktif,Pemula,Garut
61,Gunung Kaledong,1251,Jawa Barat,Jawa,"Gunung Kaledong terletak di Utara Kota Garut, Jawa Barat. Gunung ini memiliki ketinggian 1.251 mdpl.",Tidak Aktif,Pemula,Garut
62,Gunung Kancana,2182,Jawa Barat,Jawa,"Gunung Kancana adalah gunung yang terletak diperbatasan Kabupaten Sukabumi dan Kabupaten Cianjur. Jawa Barat, Indonesia. Gunung ini berada di sebelah timur dari kota Sukabumi.",Tidak Aktif,Pemula,Sukabumi
63,Gunung Karacak,1839,Jawa Barat,Jawa,"Gunung Karacak adalah sebuah gunung yang terletak di perbatasan Kabupaten Tasikmalaya dengan Kabupaten Garut di Provinsi Jawa Barat, Indonesia. Gunung ini berlokasi diantara Gunung Cikuray dengan Gunung Galunggung.",Tidak Aktif,Pemula,Tasikmalaya
64,Gunung Kencana,1210,Jawa Barat,Jawa,"Gunung Kencana terletak di Kampung Rawa Gede, Desa Tugu Utara, Kecamatan Cisarua, Kabupaten Bogor. Gunung ini memiliki ketinggian 1.210 mdpl.",Tidak Aktif,Pemula,Bogor
65,Gunung Kendang,2617,Jawa Barat,Jawa,"Gunung Kendang adalah gunung berapi stratovolcano yang terletak di perbatasan kecamatan Kertasari, Kab. Bandung dan kecamatan Pasirwangi, Kab. Garut, Jawa Barat, Indonesia. Gunung Kendang terdapat empat lapangan Fumarol termasuk Kawah Manuk, dengan luas kawah 2,75 km.",Tidak Aktif,Pemula,Bandung
66,Gunung Lembu,780,Jawa Barat,Jawa,"Gunung Lembu adalah gunung yang terletak di Kabupaten Purwakarta, Provinsi Jawa Barat, Indonesia. Gunung Lembu yang terletak di dekat Waduk Jatiluhur dengan ketinggian puncak 780 Mdpl ini merupakan sebongkah batu raksasa (monolit). Secara administratif termasuk ke dalam wilayah Desa Panyindangan, Kecamatan Sukatani. Meskipun tidak terlalu tinggi untuk ukuran gunung, tetapi medan yang dilalui untuk mencapai puncaknya terkenal cukup sulit untuk di daki terutama saat sedang terjadi hujan. Perizinan mendaki Gunung Lembu dilakukan di Kampung Panunggal, Desa Panyindangan",Tidak Aktif,Pemula,Purwakarta
67,Gunung Malabar,2343,Jawa Barat,Jawa,"Pegunung Malabar merupakan sebuah gunung api yang puncaknya terdapat berada di Pangalengan, Kabupaten Bandung, Jawa Barat. Kompleks Pegunungan Malabar merupakan rankaian beberapa gunung, yaitu gunung Puntang dengan Puncak Mega-nya (2.222 m dpal), Gunung Haruman (2.141 m dpal) dan Gunung Malabar sendiri dengan puncaknya disebut dengan Puncak Besar 2,343 meter di atas permukaan laut.",Aktif,Pemula,Bandung
68,Gunung Mandalagiri,1813,Jawa Barat,Jawa,"Gunung Mandalagiri merupakan sebuah gunung yang terletak di Kabupaten Garut, Jawa Barat. Gunung ini memiliki ketinggian di 1.813 mdpl.",Tidak Aktif,Pemula,Garut
69,Gunung Manglayang,1818,Jawa Barat,Jawa,"Gunung Manglayang adalah sebuah gunung bertipe Stratovolcano yang terletak di antara Kota Bandung dan Kabupaten Sumedang, Jawa Barat, Indonesia dan memiliki ketinggian sekitar 1818 mdpl. Pemandangannya cukup indah, tetapi karena relatif tidak terlalu tinggi, sehingga kurang dikenal oleh pendaki-pendaki gunung pada umumnya.",Aktif,Pemula,Bandung
70,Gunung Masigit,2078,Jawa Barat,Jawa,"Gunung Masigit merupakan sebuah gunung yang terdapat di pulau Jawa, Indonesia. Gunung Masigit mempunyai ketinggian setinggi 2.078 mdpl. Gunung Masigit mempunyai kawasan hutan Dipterokarp Bukit, hutan Dipterokarp Atas, hutan Montane, dan Hutan Ericaceous atau hutan gunung.",Tidak Aktif,Pemula,Bandung
71,Gunung Mandalawangi,1640,Jawa Barat,Jawa,"Gunung Mandalawangi secara administratif berada di perbatasan antara Kabupaten Bandung dan Kabupaten Garut. Lereng dan kaki gunung sebelah utara berada di Desa Mandalawangi dan Desa Bojong, Kecamatan Cicalengka, Kabupaten Bandung.",Tidak Aktif,Pemula,Bandung
72,Gunung Munara,367,Jawa Barat,Jawa,"Gunung Munara adalah sebuah gunung yang terletak di sebelah barat Kabupaten Bogor. Gunung ini terletak 40 km di barat daya Jakarta dan 12,1 km di sebelah barat dari daerah Parung tepatnya di daerah Kecamatan Rumpin, Kabupaten Bogor.",Tidak Aktif,Pemula,Bogor
73,Gunung Nyungcung,240,Jawa Barat,Jawa,"Gunung Nyungcung adalah salah satu gunung yang ada di Indonesia. Terletak di provinsi Jawa Barat, di bagian barat negara itu, 30 km barat daya ibu kota Jakarta. Puncak Gunung Nyungcung adalah 240 meter di atas permukaan laut, atau 145 meter di atas medan sekitarnya. Lebar alasnya adalah 2,7 km.",Tidak Aktif,Pemula,Bogor
74,Gunung Pangparang,1810,Jawa Barat,Jawa,"Gunung Pangparang merupakan sebuah gunung yang terletak di Bandung, Jawa Barat. Gunung ini memiliki ketinggian 1.810 mdpl.",Tidak Aktif,Pemula,Bandung
75,Gunung Pangrango,3019,Jawa Barat,Jawa,"Gunung Pangrango merupakan sebuah gunung yang terdapat di pulau Jawa, Indonesia. Gunung Pangrango mempunyai ketinggian setinggi 3.019 meter dari permukaan laut. Puncaknya dinamakan Puncak Mandalawangi. Puncak Mandalawangi juga merupakan titik pertemuan batas tiga kabupaten yaitu Kabupaten Bogor, Kabupaten Cianjur dan Kabupaten Sukabumi.",Aktif,Mahir,Bogor
76,Gunung Papandayan,2665,Jawa Barat,Jawa,"Gunung Papandayan adalah gunung api strato yang terletak di Kabupaten Garut, Jawa Barat tepatnya di Kecamatan Cisurupan. Gunung dengan ketinggian 2665 meter di atas permukaan laut itu terletak sekitar 70 km sebelah tenggara Kota Bandung.",Aktif,Pemula,Bandung
77,Gunung Patuha,2386,Jawa Barat,Jawa,"Gunung Patuha merupakan sebuah gunung yang terdapat di Rancabali, Ciwidey, Kabupaten Bandung, Jawa Barat yang memiliki ketinggian 2.434 meter. Gunung Patuha memiliki kawah yang sangat eksotik, yaitu kawah putih. Kawah yang terbentuk dari letusan gunung patuha itu memiliki dinding kawah dan air yang berwarna putih.",Aktif,Pemula,Bandung
78,Gunung Parang,963,Jawa Barat,Jawa,"Gunung Parang terletak di Purwakarta, tepatnya di Desa Sukamulya. Gunung Parang memiliki ketinggian 930 mdpl. Gunung tersebut dikelilingi bukit batu berjenis Andesit. Para pemanjat tebing, menggunakan tebing Gunung Parang untuk menyalurkan hobi mereka. Di Gunung Parang, terdapat hotel gantung. Pada salah satu sisi tebing terdapat jalur via ferrata, yakni jalur pendakian yang dilengkapi dengan tangga besi. Jalur via ferrata Gunung Parang diresmikan pada tahun 2015.",Tidak Aktif,Pemula,Purwakarta
79,Gunung Pojoktiga,1354,Jawa Barat,Jawa,"Gunung Pojoktiga adalah gunung di Pulau Jawa dan merupakan puncak tertinggi di rangkaian Pegunungan Pojoktiga-Lio yang membelah Pulau Jawa menjadi dua. Gunung ini terletak di perbatasan Provinsi Jawa Barat dengan Jawa Tengah. Di Jawa Barat gunung ini mencangkup Kecamatan Karangkancana, Kabupaten Kuningan. Sedangkan di wilayah Jawa Tengah mencangkup Kecamatan Salem, Kabupaten Brebes dan Kecamatan Dayeuhluhur, Kabupaten Cilacap. Gunung Pojoktiga memiliki ketinggian 1.354 meter dari permukaan air laut. Sejumlah puncak lainnya ada Puncak Sawah (1.326 Mdpl), Puncak Baturungkupan (1.274 Mdpl dan Puncak Karangtengah (1.284 Mdpl). Sungai yang berhulu dari Gunung Pojoktiga antara lain Ci Taal, Ci Dayeuh, Ci Jalu, dan Ci Tatah.",Tidak Aktif,Mahir,Kuningan
80,Gunung Putri,1872,Jawa Barat,Jawa,"Gunung Putri Lembang adalah salah satu pegunungan yang terletak di kecamatan Lembang, Kabupaten Bandung Barat. Gunung ini berlokasi di perbatasan Desa Jayagiri dan Desa Cikole yang lokasinya tidak jauh dari Gunung Tangkuban Parahu. Gunung Putri Lembang merupakan salah satu tempat wisata di Lembang yang berupa sebuah bukit yang arealnya banyak ditumbuhi dengan rumput dan pohon kecil lainnya yang ditengahnya terdapat sebuah Tugu bernama Tugu Sespim.",Tidak Aktif,Pemula,Bandung Barat
81,Gunung Salak,2211,Jawa Barat,Jawa,"Gunung Salak merupakan kompleks gunung berapi yang terletak di selatan Jakarta, di Pulau Jawa. Kawasan rangkaian gunung ini termasuk ke dalam wilayah Kabupaten Sukabumi dan Kabupaten Bogor, Jawa Barat. Pengelolaan kawasan hutannya semula berada di bawah Perum Perhutani Kesatuan Pemangkuan Hutan (KPH) Bogor, tetapi sejak 2003 menjadi wilayah perluasan Taman Nasional Gunung Halimun, dan dikelola sebagai Taman Nasional Gunung Halimun-Salak.",Aktif,Pemula,"Sukabumi, Bogor"
82,Gunung Sanggabuana,1291,Jawa Barat,Jawa,"Gunung Sanggabuana adalah gunung yang terdapat dalam wilayah Kabupaten Karawang. Secara administratif gunung ini berada di Kecamatan Tegalwaru, Karawang dan Tanjungsari, Jonggol. Ketinggian gunung ini adalah 1291 mdpl dan merupakan gunung tertinggi dan satu satunya di Karawang.",Tidak Aktif,Pemula,Karawang
83,Gunung Tambakruyung,1990,Jawa Barat,Jawa,"Tambakruyung, sebuah puncakan yang terletak secara administratif termasuk dalam wilayah Kecamatan Ciwidey, Kabupaten Bandung ini, secara umum memang kurang terkenal di kalangan penggiat alam. Strukturnya yang terjal dan jalur yang samar bahkan nyaris hilang, serta banyaknya percabangan menjadi salah satu faktor mengapa Gunung Tambakruyung jarang didaki.",Tidak Aktif,Mahir,Bandung
84,Gunung Tampomas,1684,Jawa Barat,Jawa,"Tampomas adalah sebuah gunung berapi yang terletak di Jawa Barat, tepatnya sebelah utara kota Sumedang (6.77°S 107.95°E). Stratovolkano dengan ketinggian 1684 meter di atas permukaan laut ini juga memiliki sumber air panas yang keluar di daerah sekitar kaki gunung. Gunung Tampomas termasuk dalam area Taman Wisata Alam Gunung Tampomas",Aktif,Pemula,Sumedang
85,Gunung Tangkuban Perahu,2084,Jawa Barat,Jawa,"Gunung Tangkuban Parahu adalah salah satu gunung yang terletak di Provinsi Jawa Barat, Indonesia. Sekitar 20 km ke arah utara Kota Bandung, dengan rimbun pohon pinus dan hamparan kebun teh di sekitarnya, Gunung Tangkuban Parahu mempunyai ketinggian setinggi 2.084 meter. Bentuk gunung ini adalah Stratovulcano dengan pusat erupsi yang berpindah dari timur ke barat. Jenis batuan yang dikeluarkan melalui letusan kebanyakan adalah lava dan sulfur, mineral yang dikeluarkan adalah sulfur belerang, mineral yang dikeluarkan saat gunung tidak aktif adalah uap belerang. Daerah Gunung Tangkuban Parahu dikelola oleh Perum Perhutanan. Suhu rata-rata hariannya adalah 17oC pada siang hari dan 2 °C pada malam hari.",Aktif,Pemula,Lembang
86,Gunung Tanjaknangsi,1505,Jawa Barat,Jawa,"Gunung Tanjaknangsi adalah sebuah gunung yang terletak di Jawa Barat, Indonesia. Ketinggian di atas permukaan laut adalah 1505 meter. Varian bentuk ejaan untuk Gunung Tanjaknangsi atau dalam bahasa lain: Gunung Tanjaknangsi, Gunung Tanjaknangsi, Gunung Tanjaknangsi, Gunung Tanjaknangsi.",Tidak Aktif,Mahir,Bandung
87,Gunung Telaga Bodas,2201,Jawa Barat,Jawa,"Gunung Telaga Bodas atau Talaga Bodas adalah gunung stratovolcano di bagian selatan Garut, Jawa Barat, Indonesia. Gunung ini terbentuk dari lava andesit dan piroklastik. Terdapat juga fumarol, kolam lumpur, dan mata air panas di sekitar danau kawah. Perubahan warna danau kawah dilaporkan pernah terjadi pada tahun 1913 dan 1921.",Aktif,Pemula,Garut
88,Gunung Tilu,1076,Jawa Barat,Jawa,"Gunung Tilu adalah gunung yang terletak dekat perbatasan Kabupaten Kuningan, Jawa Barat dan Kabupaten Brebes, Jawa Tengah. Secara administratif pemerintahan, Gunung Tilu termasuk ke dalam wilayah Desa Jabranti Kecamatan Karangkancana dan Desa Cimara, Kecamatan Cibeureum, Kabupaten Kuningan. Gunung Tilu merupakan kelompok pegunungan yang setidaknya mempunyai tiga puncak tertinggi yaitu puncak Sukmana (1.154 m dpl), puncak Gunung Tilu (1.076 m dpl), dan puncak lainnya yang tidak diketahui namanya (1.112 m dpl).",Tidak Aktif,Pemula,Kuningan
89,Gunung Wayang,2181,Jawa Barat,Jawa,"Gunung Wayang merupakan gunung berapi kembar yang terdiri dari Gunung Wayang dan Gunung Windu. Terletak di sebelah timur kota Pangalengan di Kabupaten Bandung di Jawa Barat, Indonesia, sekitar 40 km sebelah selatan dari Kota Bandung. Daerah ini telah menjadi proyek panas bumi aktif. Gunung Wayang memiliki kawah bulan sabit dengan 750 m yang memegang empat kelompok fumarol. Gunung Windu memiliki kawah dengan lebar 350 m.",Aktif,Mahir,Bandung
90,Gunung Subang,1206,"Jawa Barat, Jawa Tengah",Jawa,"Gunung Subang merupakan sebuah gunung yang terdapat di perbatasan Provinsi Jawa Barat dengan Provinsi Jawa Tengah. Gunung Subang merupakan salah satu puncak atau titik tertinggi di jajaran Pegunungan Pojoktiga-Lio yang membentang dari selatan Kabupaten Kuningan hingga Kabupaten Brebes di Jawa Tengah. Gunung Subang secara administrasi berada di perbatasan Desa Legokherang, Kecamatan Cilebak, Kabupaten Kuningan, Jawa Barat dengan Desa Cijeruk, Kecamatan Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah. Sungai yang berhulu di Gunung Subang yaitu Sungai Cisubang dan Sungai Citajakembang. Puncak Gunung Subang mudah dijangkau dari Desa Legokherang.",Tidak Aktif,Pemula,"Kuningan, Cilacap"
91,Gunung Andong,1726,Jawa Tengah,Jawa,"Gunung Andong adalah sebuah gunung bertipe perisai di Kabupaten Magelang, Jawa Tengah. Gunung ini belum pernah mempunyai aktivitas meletus. Gunung Andong terletak di antara Ngablak dan Tlogorjo, Grabag dan memiliki ketinggian sekitar 1.726 Mdpl. Gunung Andong merupakan salah satu dari beberapa gunung yang melingkari Magelang. Berdampingan dengan Gunung Telomoyo, gunung ini berada di perbatasan wilayah Salatiga, Semarang, dan Magelang. Salah satu tujuan wisata alam yang berada di Jawa Tengah tepatnya di Kabupaten Magelang di lereng Gunung Andong yang dapat disinggahi adalah Hutan Wisata Mangli.",Tidak Aktif,Pemula,Magelang
92,Gunung Ayamayam,1022,Jawa Tengah,Jawa,"Gunung Ayamayam merupakan sebuah gunung yang terdapat di Provinsi Jawa Tengah. Gunung Ayamayam merupakan titik tertinggi di jajaran Pegunungan Menoreh. Gunung Ayamayam secara administrasi berada di perbatasan Kabupaten Purworejo dan Kabupaten Magelang. Di Kabupaten Magelang gunung ini mencakup Kecamatan Salaman, sedangkan di Kabupaten Purworejo mencakup Kecamatan Bener.",Tidak Aktif,Pemula,Magelang
93,Gunung Beser,1530,Jawa Tengah,Jawa,"Gunung Beser adalah sebuah gunung yang terletak di desa Jombor, Kecamatan Jumo, Kabupaten Temanggung. Gunung ini memiliki ketinggian 1.035 meter diatas permukaan laut (mdpl).",Tidak Aktif,Pemula,Temanggung
94,Gunung Bisma,2365,Jawa Tengah,Jawa,"Gunung Bismo atau Gunung Bisma adalah sebuah gunung yang berada di Kabupaten Wonosobo, Provinsi Jawa Tengah. Gunung Bisma masih berada di Pegunungan Komplek Gunung Api Dieng. Secara Administrasi, Gunung Bisma terletak di Kabupaten Wonosobo. tepatnya di perbatasan Desa Campursari dengan Desa Sikunang, Kecamatan Kejajar, Kabupaten Wonosobo, Provinsi Jawa Tengah. Gunung Bisma memiliki ketinggian 2.365 meter di atas permukaan air laut Mdpl. Gunung Bisma merupakan bekas gunung api dengan kawah tua yang terpotong membuka kearah tenggara. Lembah yang dulunya merupakan pusat kubah lava gunung Bisma, kini menjadi desa Sikunang yang ada di jalur alternatif menuju Dataran Tinggi Dieng (jalur Sembungan).",Aktif,Pemula,Wonosobo
95,Gunung Blego,996,Jawa Tengah,Jawa,"Gunung Blego adalah sebuah gunung yang berada di perbatasan Provinsi Jawa Tengah dengan Jawa Timur. Gunung Blego mencangkup Kecamatan Parang dan Kecamatan Poncol, Kabupaten Magetan di wilayah Provinsi Jawa Timur serta Kecamatan Puhpelem, Kabupaten Wonogiri di Provinsi Jawa Tengah. Gunung Blego ini berada di kaki Gunung Lawu sebelah timur. Gunung Blego memiliki ketinggian 996 meter di atas permukaan air laut Mdpl. Gunung Blego merupakan gunung yang diduga pernah mengalami aktivitas vulkanik sehingga dipuncaknya terdapat sebuah cerukan yang menyerupai bekas kawah dengan diameter lebih dari 700 meter. Para penduduk sekitar menyebutnya ""Tlogourung"", sebab bentuknya yang seperti telaga namun tidak ada airnya. Puncak Gunung Blego bernama Pertapan.[1] Di sebelah timur dari Gunung Blego terdapat sebuah bukit bernama Bukit Bungkuk. Sungai yang berhulu dari Gunung Blego diantaranya Sungai Nguneng, Sungai Nglurup, Sungai Winong, Sungai Ngrombo, Sungai Jurangpendil dan anak-anak Sungai Sungai Kenyang serta Sungai Gonggang.",Tidak Aktif,Pemula,Wonogiri
96,Gunung Gutak,676,Jawa tengah,Jawa,"Gunung Gutak terletak di Kabupaten Rembangan, Jawa Tengah. Gunung ini memiliki ketinggian 676 mdpl.",Tidak Aktif,Pemula,Rembang
97,Gunung Jaran,1213,Jawa Tengah,Jawa,"Gunung Jaran adalah salah satu gunung yang ada di Pulau Jawa bagian tengah. Ketinggian di atas permukaan tanah Gunung Jaran beragam. Rata-rata dari seluruh kawasan Gunung Jaran adalah 534 meter di atas permukaan laut. Bagian puncak gunung berukuran kecil dengan lereng yang curam. Dalam sistem koordinat geografis, Gunung Jaran berada di titik koordinat 7° 33' 41"" Lintang Selatan dan 109° 59' 42"" Bujur Timur. Dalam sistem klasifikasi iklim Koppen, iklim di Gunung Jaran termasuk hutan hujan tropika. Dalam pembagian administratif, Gunung Jaran berada di desa Nglinggo, Samigaluh, Kabupaten Kulon Progo. Puncak Gunung Jaran yang mencapai ketinggian 900 meter di atas permukaan laut dijadikan sebagai lokasi pariwisata alam. Sekeliling gunung dijadikan sebagai kebun teh oleh masyarakat setempat. Perkebunan teh dimanfaatkan oleh penduduk untuk keperluan pariwisata alam. Kebun teh menjadi salah satu sumber penghidupan sehari-hari penduduk setempat. Selain itu, terdapat pula kawasan hutan pinus. Kondisi lingkungan di Gunung Jarak selalu sejuk. Di Gunung Jaran disediakan gardu pandang yang dilengkapi dengan teleskop untuk melihat pemandangan jarak jauh. Dari puncak Gunung Jaran, Candi Borobudur akan tampak kelihatan ketika cuaca cerah.",Tidak Aktif,Pemula,Kulon Progo
98,Gunung Jimat,2210,Jawa Tengah,Jawa,"Gunung Jimat adalah salah satu gunung yang ada di Desa Mendelem, Kecamatan Belik, Kabupaten Pemalang, Jawa Tengah. Nama lain dari Gunung Jimat adalah Bukit Mendelem. Ketinggian permukaan tanah di Gunung Jimat ini rata-rata 2.210 meter di atas permukaan laut.",Tidak Aktif,Pemula,Pemalang
99,Gunung Joho,1272,Jawa Tengah,Jawa,Gunung Joho terletak di Desa Ngadirejo Kecamatan Kaligesing Kabupaten Purworejo. Gunung ini memiliki ketinggian 1.272 mdpl.,Tidak Aktif,Pemula,Purworejo
